epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,17664.7,2.18593,1.71886,2.83374,0.72702,0.69705,0.73608,0.56394,1.87751,3.21369,2.97137,0.0050005,0.0050005,0.0050005
103,17836.9,2.14411,1.69737,2.77947,0.73095,0.69639,0.73703,0.56495,1.87608,3.2076,2.96834,0.004951,0.004951,0.004951
104,18008.3,2.18058,1.74069,2.82866,0.7342,0.69504,0.73747,0.5657,1.87471,3.20541,2.96608,0.0049015,0.0049015,0.0049015
105,18181,2.1961,1.77966,2.81222,0.73264,0.69678,0.73812,0.56649,1.8725,3.20103,2.96343,0.004852,0.004852,0.004852
106,18353.4,2.181,1.73122,2.80075,0.73545,0.69512,0.73868,0.56716,1.87127,3.19717,2.96104,0.0048025,0.0048025,0.0048025
107,18525.7,2.13829,1.67443,2.76379,0.73973,0.69314,0.73908,0.56774,1.86967,3.19207,2.95884,0.004753,0.004753,0.004753
108,18697.7,2.15861,1.7156,2.78816,0.74385,0.69353,0.73983,0.56856,1.86867,3.18878,2.95649,0.0047035,0.0047035,0.0047035
109,18870.6,2.1797,1.71675,2.77272,0.74292,0.69556,0.74087,0.56982,1.86712,3.18702,2.95339,0.004654,0.004654,0.004654
110,19043.3,2.17761,1.74479,2.83491,0.74305,0.6963,0.74118,0.57037,1.86574,3.18387,2.95066,0.0046045,0.0046045,0.0046045
111,19216.3,2.19178,1.70829,2.76422,0.74846,0.69414,0.74192,0.57109,1.86383,3.17884,2.94782,0.004555,0.004555,0.004555
112,19388.5,2.16984,1.75154,2.7841,0.7434,0.69895,0.74336,0.57248,1.86195,3.17399,2.9461,0.0045055,0.0045055,0.0045055
113,19561.3,2.17362,1.67987,2.77785,0.74481,0.69727,0.74359,0.5729,1.86047,3.17526,2.94397,0.004456,0.004456,0.004456
114,19735.2,2.17204,1.72242,2.77834,0.7464,0.6958,0.7443,0.57355,1.85916,3.17111,2.94119,0.0044065,0.0044065,0.0044065
115,19908.6,2.14878,1.67244,2.77355,0.74865,0.69419,0.74522,0.5744,1.85822,3.16778,2.93888,0.004357,0.004357,0.004357
116,20081.3,2.13541,1.64832,2.72365,0.74869,0.69487,0.74562,0.57479,1.85765,3.16651,2.93779,0.0043075,0.0043075,0.0043075
